ID,sentimiento
60000,negativo
60001,positivo
60002,positivo
60003,negativo
60004,negativo
60005,positivo
60006,positivo
60007,negativo
60008,negativo
60009,negativo
60010,negativo
60011,negativo
60012,negativo
60013,positivo
60014,positivo
60015,positivo
60016,negativo
60017,positivo
60018,positivo
60019,positivo
60020,positivo
60021,positivo
60022,positivo
60023,positivo
60024,positivo
60025,positivo
60026,positivo
60027,positivo
60028,negativo
60029,negativo
60030,negativo
60031,positivo
60032,positivo
60033,negativo
60034,positivo
60035,positivo
60036,negativo
60037,negativo
60038,positivo
60039,negativo
60040,negativo
60041,positivo
60042,negativo
60043,positivo
60044,positivo
60045,positivo
60046,positivo
60047,negativo
60048,negativo
60049,positivo
60050,negativo
60051,positivo
60052,negativo
60053,positivo
60054,positivo
60055,negativo
60056,negativo
60057,negativo
60058,positivo
60059,negativo
60060,negativo
60061,negativo
60062,positivo
60063,positivo
60064,positivo
60065,negativo
60066,positivo
60067,positivo
60068,negativo
60069,negativo
60070,negativo
60071,positivo
60072,positivo
60073,positivo
60074,positivo
60075,negativo
60076,positivo
60077,negativo
60078,positivo
60079,negativo
60080,negativo
60081,negativo
60082,positivo
60083,positivo
60084,negativo
60085,negativo
60086,negativo
60087,positivo
60088,negativo
60089,positivo
60090,negativo
60091,negativo
60092,positivo
60093,negativo
60094,negativo
60095,positivo
60096,positivo
60097,negativo
60098,positivo
60099,negativo
60100,positivo
60101,negativo
60102,negativo
60103,negativo
60104,positivo
60105,positivo
60106,negativo
60107,positivo
60108,negativo
60109,positivo
60110,positivo
60111,positivo
60112,negativo
60113,positivo
60114,positivo
60115,negativo
60116,positivo
60117,positivo
60118,positivo
60119,negativo
60120,negativo
60121,positivo
60122,positivo
60123,negativo
60124,positivo
60125,positivo
60126,positivo
60127,positivo
60128,positivo
60129,negativo
60130,negativo
60131,positivo
60132,negativo
60133,negativo
60134,positivo
60135,negativo
60136,positivo
60137,negativo
60138,negativo
60139,positivo
60140,positivo
60141,positivo
60142,negativo
60143,negativo
60144,positivo
60145,positivo
60146,negativo
60147,positivo
60148,positivo
60149,negativo
60150,positivo
60151,positivo
60152,negativo
60153,negativo
60154,negativo
60155,negativo
60156,positivo
60157,positivo
60158,negativo
60159,positivo
60160,positivo
60161,positivo
60162,positivo
60163,positivo
60164,negativo
60165,positivo
60166,positivo
60167,positivo
60168,negativo
60169,positivo
60170,positivo
60171,positivo
60172,positivo
60173,positivo
60174,positivo
60175,positivo
60176,negativo
60177,negativo
60178,positivo
60179,negativo
60180,negativo
60181,negativo
60182,positivo
60183,negativo
60184,negativo
60185,negativo
60186,positivo
60187,positivo
60188,negativo
60189,negativo
60190,negativo
60191,positivo
60192,positivo
60193,positivo
60194,positivo
60195,positivo
60196,negativo
60197,negativo
60198,positivo
60199,positivo
60200,negativo
60201,negativo
60202,negativo
60203,negativo
60204,negativo
60205,positivo
60206,negativo
60207,positivo
60208,negativo
60209,negativo
60210,positivo
60211,negativo
60212,positivo
60213,negativo
60214,positivo
60215,negativo
60216,positivo
60217,positivo
60218,positivo
60219,negativo
60220,negativo
60221,positivo
60222,positivo
60223,positivo
60224,negativo
60225,negativo
60226,positivo
60227,positivo
60228,positivo
60229,negativo
60230,positivo
60231,negativo
60232,negativo
60233,positivo
60234,negativo
60235,negativo
60236,positivo
60237,negativo
60238,negativo
60239,negativo
60240,positivo
60241,positivo
60242,negativo
60243,positivo
60244,negativo
60245,positivo
60246,positivo
60247,positivo
60248,positivo
60249,positivo
60250,negativo
60251,positivo
60252,positivo
60253,positivo
60254,negativo
60255,positivo
60256,negativo
60257,positivo
60258,positivo
60259,negativo
60260,negativo
60261,negativo
60262,negativo
60263,positivo
60264,positivo
60265,positivo
60266,negativo
60267,negativo
60268,positivo
60269,negativo
60270,positivo
60271,positivo
60272,negativo
60273,positivo
60274,positivo
60275,positivo
60276,positivo
60277,negativo
60278,positivo
60279,negativo
60280,positivo
60281,positivo
60282,positivo
60283,negativo
60284,positivo
60285,negativo
60286,positivo
60287,negativo
60288,positivo
60289,positivo
60290,negativo
60291,negativo
60292,negativo
60293,positivo
60294,positivo
60295,negativo
60296,positivo
60297,negativo
60298,negativo
60299,negativo
60300,negativo
60301,negativo
60302,negativo
60303,negativo
60304,positivo
60305,positivo
60306,negativo
60307,negativo
60308,positivo
60309,positivo
60310,negativo
60311,negativo
60312,positivo
60313,positivo
60314,negativo
60315,positivo
60316,negativo
60317,negativo
60318,negativo
60319,negativo
60320,positivo
60321,negativo
60322,negativo
60323,negativo
60324,negativo
60325,negativo
60326,negativo
60327,positivo
60328,positivo
60329,negativo
60330,positivo
60331,negativo
60332,negativo
60333,negativo
60334,negativo
60335,negativo
60336,negativo
60337,negativo
60338,positivo
60339,negativo
60340,negativo
60341,positivo
60342,positivo
60343,positivo
60344,positivo
60345,negativo
60346,negativo
60347,positivo
60348,positivo
60349,negativo
60350,negativo
60351,positivo
60352,positivo
60353,positivo
60354,negativo
60355,negativo
60356,positivo
60357,positivo
60358,negativo
60359,negativo
60360,positivo
60361,positivo
60362,positivo
60363,negativo
60364,negativo
60365,negativo
60366,negativo
60367,positivo
60368,positivo
60369,positivo
60370,negativo
60371,negativo
60372,positivo
60373,positivo
60374,positivo
60375,positivo
60376,positivo
60377,negativo
60378,positivo
60379,positivo
60380,positivo
60381,negativo
60382,negativo
60383,negativo
60384,positivo
60385,positivo
60386,positivo
60387,positivo
60388,positivo
60389,positivo
60390,positivo
60391,negativo
60392,negativo
60393,negativo
60394,negativo
60395,negativo
60396,negativo
60397,negativo
60398,negativo
60399,negativo
60400,negativo
60401,positivo
60402,negativo
60403,negativo
60404,positivo
60405,negativo
60406,negativo
60407,negativo
60408,negativo
60409,negativo
60410,positivo
60411,positivo
60412,negativo
60413,positivo
60414,negativo
60415,negativo
60416,negativo
60417,positivo
60418,negativo
60419,negativo
60420,positivo
60421,negativo
60422,positivo
60423,negativo
60424,negativo
60425,positivo
60426,positivo
60427,negativo
60428,negativo
60429,positivo
60430,positivo
60431,positivo
60432,negativo
60433,negativo
60434,negativo
60435,positivo
60436,positivo
60437,positivo
60438,positivo
60439,negativo
60440,negativo
60441,positivo
60442,negativo
60443,negativo
60444,positivo
60445,negativo
60446,positivo
60447,negativo
60448,negativo
60449,positivo
60450,positivo
60451,positivo
60452,positivo
60453,negativo
60454,positivo
60455,negativo
60456,positivo
60457,negativo
